crop_type,geographic_area,2022_farms,2022_acres,2022_quantity,2022_irrigated_farms,2022_irrigated_acres,2017_farms,2017_acres,2017_quantity,2017_irrigated_farms,2017_irrigated_acres
CANOLA (POUNDS),State Total,,,,,,,,,,
CANOLA (POUNDS),Virginia,3,(D),33366,,,2,(D),(D),1,(D)
CANOLA (POUNDS),Northumberland,,,,,,,1,(D),(D),,
CANOLA (POUNDS),Rockingham,1,(D),(D),,,1,(D),(D),1,(D)
CANOLA (POUNDS),Shenandoah,2,(D),(D),,,,,,,,
CORN FOR GRAIN (BUSHELS),State Total,,,,,,,,,,
CORN FOR GRAIN (BUSHELS),Virginia,2448,384337,59708380,119,15093,2548,378073,53849390,129,14677
CORN FOR GRAIN (BUSHELS),Accomack,50,22155,3074692,5,2087,52,18890,3219578,7,2245
CORN FOR GRAIN (BUSHELS),Albemarle,15,968,133380,3,7,16,1449,165839,,
CORN FOR GRAIN (BUSHELS),Alleghany,1,(D),(D),,,,10,146,19408,,
CORN FOR GRAIN (BUSHELS),Amelia,30,4277,607251,,,,41,4371,570992,,
CORN FOR GRAIN (BUSHELS),Amherst,1,(D),(D),,,,1,(D),(D),,
CORN FOR GRAIN (BUSHELS),Appomattox,11,1132,151613,,,,16,534,64870,,
CORN FOR GRAIN (BUSHELS),Augusta,187,15862,2577825,1,(D),187,19130,3018206,4,334
CORN FOR GRAIN (BUSHELS),Bath,3,52,6984,,,,6,299,34444,,
CORN FOR GRAIN (BUSHELS),Bedford,16,1475,205144,,,,7,488,62986,1,(D)
CORN FOR GRAIN (BUSHELS),Bland,8,369,55210,2,(D),5,(D),(D),,
CORN FOR GRAIN (BUSHELS),Botetourt,12,1593,280945,,,,21,1602,210263,,
CORN FOR GRAIN (BUSHELS),Brunswick,3,212,(D),,,,9,1012,130024,5,603
CORN FOR GRAIN (BUSHELS),Buchanan,3,(D),(D),,,,1,(D),(D),,
CORN FOR GRAIN (BUSHELS),Buckingham,17,1399,228545,,,,16,1432,143717,,
CORN FOR GRAIN (BUSHELS),Campbell,11,572,61183,,,,21,755,73352,,
CORN FOR GRAIN (BUSHELS),Caroline,35,13092,1947844,3,656,24,11788,1771103,6,1460
CORN FOR GRAIN (BUSHELS),Carroll,4,(D),(D),1,(D),4,(D),(D),,
CORN FOR GRAIN (BUSHELS),Charles City,15,7664,1326846,5,471,14,7063,946445,2,(D)
CORN FOR GRAIN (BUSHELS),Charlotte,29,2376,306539,1,(D),34,1792,182295,,
CORN FOR GRAIN (BUSHELS),Chesterfield,8,372,53107,,,,6,436,59394,,
CORN FOR GRAIN (BUSHELS),Clarke,14,1254,196397,,,,17,2533,398021,,
CORN FOR GRAIN (BUSHELS),Craig,6,185,19114,,,,8,319,45174,1,(D)
CORN FOR GRAIN (BUSHELS),Culpeper,29,5620,1073927,,,,32,9122,1305479,,
CORN FOR GRAIN (BUSHELS),Cumberland,4,809,117590,,,,19,734,65248,6,12
CORN FOR GRAIN (BUSHELS),Dickenson,8,19,1360,,,,1,(D),(D),,
CORN FOR GRAIN (BUSHELS),Dinwiddie,32,5964,822697,6,146,21,5564,749839,4,603
CORN FOR GRAIN (BUSHELS),Essex,44,16851,2934697,2,(D),29,16994,2119953,1,(D)
CORN FOR GRAIN (BUSHELS),Fairfax,1,(D),(D),,,,4,14,1200,2,(D)
CORN FOR GRAIN (BUSHELS),Fauquier,37,5386,928707,5,5,46,8116,1232774,5,15
CORN FOR GRAIN (BUSHELS),Floyd,8,103,18210,,,,6,242,20850,,
CORN FOR GRAIN (BUSHELS),Fluvanna,12,1268,198161,,,,4,(D),(D),,
CORN FOR GRAIN (BUSHELS),Franklin,61,6179,707412,,,,75,4660,579304,,
CORN FOR GRAIN (BUSHELS),Frederick,30,3333,531211,,,,46,4044,577315,1,(D)
CORN FOR GRAIN (BUSHELS),Giles,8,150,14820,,,,10,60,6975,,
CORN FOR GRAIN (BUSHELS),Gloucester,33,5281,796637,,,,19,5400,664051,,
CORN FOR GRAIN (BUSHELS),Goochland,10,3914,812310,,,,13,2521,253260,,
CORN FOR GRAIN (BUSHELS),Grayson,10,2860,232094,1,(D),5,135,14910,,
CORN FOR GRAIN (BUSHELS),Greene,3,(D),(D),,,,1,(D),(D),,
CORN FOR GRAIN (BUSHELS),Greensville,18,2101,303604,1,(D),24,1616,167069,1,(D)
CORN FOR GRAIN (BUSHELS),Halifax,47,3820,481461,2,(D),28,1611,162017,,
CORN FOR GRAIN (BUSHELS),Hanover,39,12366,1914676,5,1301,50,13298,1488310,7,1321
CORN FOR GRAIN (BUSHELS),Henrico,12,1709,235190,,,,6,1657,232380,1,(D)
CORN FOR GRAIN (BUSHELS),Henry,5,40,3600,,,,,,,
CORN FOR GRAIN (BUSHELS),Highland,1,(D),(D),,,,2,(D),(D),,
CORN FOR GRAIN (BUSHELS),Isle of Wight,59,11153,1415323,4,217,49,10598,1589318,4,534
CORN FOR GRAIN (BUSHELS),James City,2,(D),(D),,,,2,(D),(D),,
CORN FOR GRAIN (BUSHELS),King and Queen,33,12284,1914432,3,927,34,12347,1510053,3,(D)
CORN FOR GRAIN (BUSHELS),King George,15,1382,240211,,,,15,3426,496958,,
CORN FOR GRAIN (BUSHELS),King William,33,10416,1730964,6,594,18,8813,1259893,3,(D)
CORN FOR GRAIN (BUSHELS),Lancaster,13,2552,481952,,,,23,5102,772804,,
CORN FOR GRAIN (BUSHELS),Lee,47,480,44275,,,,75,1003,114988,,
CORN FOR GRAIN (BUSHELS),Loudoun,25,4032,687670,2,(D),28,5965,752045,,
CORN FOR GRAIN (BUSHELS),Louisa,16,4607,709452,,,,16,1911,234913,1,(D)
CORN FOR GRAIN (BUSHELS),Lunenburg,9,1163,115567,,,,4,1203,(D),,
CORN FOR GRAIN (BUSHELS),Madison,31,6929,1190576,,,,34,6532,967437,,